"Column1.1","Column1.2","Column1.3","Column1.4","Column1.5"
"2020.07.20","","","",""
"hétfő","28.9","18.4","4.1","0"
"2020.07.21","","","",""
"kedd","30.2","21","3.8","0.4"
"2020.07.22","","","",""
"szerda","28.2","20.9","3.9","2.8"
"2020.07.23","","","",""
"csütörtök","29.5","22.6","3.8","0"
"2020.07.24","","","",""
"péntek","29.8","21.2","4.8","7.3"
"2020.07.25","","","",""
"szombat","27.3","20.2","4.1","5.7"
"2020.07.26","","","",""
"vasárnap","29.2","19.4","4.1","0"
"2020.07.27","","","",""
"hétfő","29.7","20.9","4.2","0"
"2020.07.28","","","",""
"kedd","32.9","22.6","4.4","0"
"2020.07.29","","","",""
"szerda","30.5","23.8","5","0"
"2020.07.30","","","",""
"csütörtök","32.8","24","3.2","0"
"2020.07.31","","","",""
"péntek","31.4","24.6","4.6","0"
"2020.08.01","","","",""
"szombat","28.8","21.2","3.9","0"
"2020.08.02","","","",""
"vasárnap","29.8","20.5","4.3","0"
"2020.08.03","","","",""
"hétfő","31.5","21.7","5.2","0.5"
"2020.08.04","","","",""
"kedd","29.6","20.6","5.4","4.3"
"2020.08.05","","","",""
"szerda","25","20.6","3.1","3.4"
"2020.08.06","","","",""
"csütörtök","29.7","20.5","4.7","1.3"
"2020.08.07","","","",""
"péntek","31.5","22.7","5.8","0"
"2020.08.08","","","",""
"szombat","32.9","24.2","3.8","0"
"2020.08.09","","","",""
"vasárnap","33","24.8","3.1","0"
"2020.08.10","","","",""
"hétfő","33","25.3","2.8","1.5"
"2020.08.11","","","",""
"kedd","33.1","23.5","3.8","1.4"
"2020.08.12","","","",""
"szerda","32.1","24.1","4","0"
"2020.08.13","","","",""
"csütörtök","31.3","22.6","3.2","0"
"2020.08.14","","","",""
"péntek","31","24.6","3.3","0"
"2020.08.15","","","",""
"szombat","28.9","23","2.6","1.1"
"2020.08.16","","","",""
"vasárnap","26","20.5","3.4","25.9"
"2020.08.17","","","",""
"hétfő","30.9","21.8","3.9","4.4"
"2020.08.18","","","",""
"kedd","27.4","22.1","4.3","6.6"
"2020.08.19","","","",""
"szerda","27.8","21.2","4.5","1.1"
"2020.08.20","","","",""
"csütörtök","30.1","20","3.6","0"
"2020.08.21","","","",""
"péntek","31.6","22.3","2.7","0"
"2020.08.22","","","",""
"szombat","32.9","23.2","2.1","0"
"2020.08.23","","","",""
"vasárnap","28.7","21.6","4.9","3.7"
"2020.08.24","","","",""
"hétfő","28.9","22","4","0"
"2020.08.25","","","",""
"kedd","26.7","21","4.6","0"
"2020.08.26","","","",""
"szerda","30.3","20.4","5.6","0"
"2020.08.27","","","",""
"csütörtök","26.1","19.5","7.7","0"
"2020.08.28","","","",""
"péntek","29.1","19","4.8","0"
"2020.08.29","","","",""
"szombat","32.7","22.1","6.7","0"
"2020.08.30","","","",""
"vasárnap","34.3","23.4","7.6","0"
"2020.08.31","","","",""
"hétfő","26.2","19.1","7","0.2"
"2020.09.01","","","",""
"kedd","19.7","15.7","5.5","16.7"
"2020.09.02","","","",""
"szerda","24","13.9","5.3","0"
"2020.09.03","","","",""
"csütörtök","25.1","17.1","4.1","0"
"2020.09.04","","","",""
"péntek","25.9","16.7","3","0"
"2020.09.05","","","",""
"szombat","28.9","19.7","2.4","0"
"2020.09.06","","","",""
"vasárnap","30.1","21","2.3","0"
"2020.09.07","","","",""
"hétfő","26.5","20.4","4.9","0.2"
"2020.09.08","","","",""
"kedd","25.9","17.5","2.8","0"
"2020.09.09","","","",""
"szerda","28","18.5","2.1","0"
"2020.09.10","","","",""
"csütörtök","27.7","19.6","3","0"
"2020.09.11","","","",""
"péntek","27.5","19.6","2.8","0"
"2020.09.12","","","",""
"szombat","29.6","20.5","3","0"
"2020.09.13","","","",""
"vasárnap","30.2","22.3","2.7","0"
"2020.09.14","","","",""
"hétfő","30.5","22.4","3.9","0"
"2020.09.15","","","",""
"kedd","30.7","22.8","3.9","0"
"2020.09.16","","","",""
"szerda","30.5","23","2.7","0"
"2020.09.17","","","",""
"csütörtök","30.5","19.9","3.9","0.8"
"2020.09.18","","","",""
"péntek","23.5","17.2","3.6","0"
"2020.09.19","","","",""
"szombat","23.1","16.5","2.6","0"
"2020.09.20","","","",""
"vasárnap","25.7","16.3","4","0"
"2020.09.21","","","",""
"hétfő","26.8","17.8","4.1","0"
"2020.09.22","","","",""
"kedd","28.1","18.5","4.7","0"
"2020.09.23","","","",""
"szerda","26.4","19.4","2.5","1.8"
"2020.09.24","","","",""
"csütörtök","24.9","18.9","2","1"
"2020.09.25","","","",""
"péntek","21.6","18.5","5.6","9.2"
"2020.09.26","","","",""
"szombat","18.3","11.8","7.6","10.4"
"2020.09.27","","","",""
"vasárnap","16.9","9.5","6","0"
"2020.09.28","","","",""
"hétfő","19.6","13.3","6","8.5"
"2020.09.29","","","",""
"kedd","17","13.4","6","0.2"
"2020.09.30","","","",""
"szerda","16","11.9","6.9","0.2"
"2020.10.01","","","",""
"csütörtök","15.8","13.9","5.2","6"
"2020.10.02","","","",""
"péntek","21.6","12.5","4.3","0.2"
"2020.10.03","","","",""
"szombat","27","16.1","6.9","0"
"2020.10.04","","","",""
"vasárnap","22.4","17.6","6.4","6"
"2020.10.05","","","",""
"hétfő","22.8","16.2","5.7","0"
"2020.10.06","","","",""
"kedd","21.9","14.8","4.3","0"
"2020.10.07","","","",""
"szerda","15.9","14.5","6.8","2.5"
"2020.10.08","","","",""
"csütörtök","18.1","11.3","6.6","0"
"2020.10.09","","","",""
"péntek","18.8","12.1","2.5","0"
"2020.10.10","","","",""
"szombat","20.6","15.1","2.3","0"
"2020.10.11","","","",""
"vasárnap","14.7","12.5","3.7","1.5"
"2020.10.12","","","",""
"hétfő","13.5","9.6","4.9","30.1"
"2020.10.13","","","",""
"kedd","10.1","8","7.9","32.5"
"2020.10.14","","","",""
"szerda","13.1","7.5","8.9","8.8"
"2020.10.15","","","",""
"csütörtök","12.6","10.3","4.2","10.4"
"2020.10.16","","","",""
"péntek","12.8","9.3","3.8","0.9"
"2020.10.17","","","",""
"szombat","10.6","8.6","5.5","0"
"2020.10.18","","","",""
"vasárnap","12.3","7.9","6","0"
"2020.10.19","","","",""
"hétfő","14.1","8","2.8","0"
"2020.10.20","","","",""
"kedd","14.8","9.6","4","0"
"2020.10.21","","","",""
"szerda","16.6","8.9","4.2","0"
"2020.10.22","","","",""
"csütörtök","15.7","10.3","3.2","0"
"2020.10.23","","","",""
"péntek","16.4","10.8","1.8","0"
"2020.10.24","","","",""
"szombat","17.9","12.1","5.6","0"
"2020.10.25","","","",""
"vasárnap","13.3","12.9","2.3","4.5"
"2020.10.26","","","",""
"hétfő","19","11.7","6.6","0"
